DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,LOG_ID_FROM_FILENAME,CGR,interpretation_status,vsh_Linear,vsh_Larionov_Optimized,vsh_Clavier,vsh_Neutron_Density,vsh_final,sh_frac,abs_diff,lithology_kb,porosity_model_kb,phie_final,TH,K,U,rock_type,k_final,permeability_model_used,sw_final,sxo_final,so_final,so_movable,vsan_auto,vlim_auto,vdol_auto,carb_auto,RESULT_AUTO
1861.1,58.113,1.955,77.256,21.342,249.251,2.32,18.228,62.593,112.202,,0.147,56.616,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.229758406790728,,0.1139516700295772,0.1143225806451615,0.1143225806451615,,,Shale,Sonic,0.0913087149792936,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.2887630586712801,0.3993567082463223,0.7112369413287198,0.0089437158561577,0.7943687043755449,0.0,0.0,0.0,水层
1861.2,57.747,1.987,77.152,21.338,248.186,2.321,18.343,63.501,112.788,,0.173,40.64,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2270427091680764,,0.1123628199811161,0.1033974484788998,0.1033974484788998,,,Shale,Sonic,0.0838889870517276,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.3163601550883907,0.4352943947739358,0.6836398449116092,0.0089456483330751,0.8127135644693726,0.0,0.0,0.0,待会诊
1861.3,54.465,2.039,77.065,21.361,246.27,2.329,18.024,63.976,113.155,,0.22,39.809,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2026904698305286,,0.0983914599137716,0.095659574468084,0.095659574468084,,,Shale,Sonic,0.0757661442534719,,,,RT4_Tight_Sand,0.001,Param_Error_MultiLinear_V2,0.9336869571741856,1.0,0.0663130428258144,0.0045436627404454,0.828574281278444,0.0,0.0,0.0,待会诊
1861.4,48.693,2.101,76.993,21.407,244.323,2.341,17.252,63.448,112.629,,0.251,48.796,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1598625827323183,,0.0749965111370047,0.1036932907348234,0.1036932907348234,,,Shale,Sonic,0.0749891124818613,,,,RT4_Tight_Sand,0.001,Param_Error_MultiLinear_V2,0.93516452622186,1.0,0.06483547377814,0.0043578025603572,0.8213175967833153,0.0,0.0,0.0,待会诊
1861.5,43.164,2.161,76.944,21.443,242.716,2.35,16.433,62.436,111.983,,0.267,62.857,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.118837740777016,,0.0539426637327626,0.1278205980066438,0.1278205980066438,,,Shale,Sonic,0.0823184189959716,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.324361964804812,0.4487286778739131,0.6756380351951881,0.0089290859411603,0.7898609829973846,0.0,0.0,0.0,待会诊
1861.6,39.152,2.204,76.926,21.441,241.739,2.351,15.725,61.585,112.177,,0.266,77.367,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0890689460718843,,0.039466893330637,0.1759176863181311,0.1759176863181311,,,Shale,Sonic,0.1001744834102749,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8416253790190299,0.0,0.0,0.6735652293372519,0.0503426009343421,0.0,0.0503426009343421,水层
1861.7,36.499,2.199,76.949,21.38,241.609,2.347,15.258,61.665,114.359,,0.251,87.798,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0693838482770902,,0.0302549613757387,0.2240131147540981,0.2240131147540981,,,Shale,Sonic,0.1171310734440056,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8630164578697511,0.0,0.0,0.0443398676771783,0.614515944124718,0.0,0.614515944124718,水层
1861.8,35.281,2.161,77.012,21.319,242.029,2.337,15.125,63.21,119.002,,0.223,85.069,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0603463627459709,,0.0261202526289492,0.2657068062827217,0.2657068062827217,,,Shale,Sonic,0.130564148921303,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8944180307865529,0.0,0.0,0.0,0.0,0.6037290447959753,0.6037290447959753,水层
1861.9,34.666,2.098,77.092,21.302,242.328,2.326,15.253,63.466,120.442,,0.196,73.714,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0557831003472531,,0.024054921774137,0.2895915915915911,0.2895915915915911,,,Shale,Sonic,0.1373584957386997,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.907243238202168,0.0,0.0,0.0,0.0,0.5730499126697092,0.5730499126697092,水层
1862.0,34.686,2.022,77.182,21.314,242.214,2.321,15.299,61.894,117.476,,0.181,57.868,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0559314991244472,,0.0241218514965158,0.3005554465161917,0.3005554465161917,,,Shale,Sonic,0.1397700634343337,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.896996387099021,0.0,0.0,0.0,0.0,0.5596744900494746,0.5596744900494746,水层
