DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,WELL_NAME,cluster_label
1862.7,34.08,1.972,77.589,21.255,240.967,2.373,13.596,56.212,92.286,,0.233,88.014,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.8,31.944,1.984,77.516,21.313,243.379,2.36,14.281,54.473,88.163,,0.198,88.123,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.9,31.403,1.98,77.434,21.346,245.281,2.343,15.137,54.493,87.533,,0.173,78.367,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.0,32.953,1.964,77.352,21.34,246.358,2.332,15.717,55.163,88.548,,0.169,108.684,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.1,36.543,1.944,77.273,21.297,246.475,2.33,15.964,55.369,89.348,,0.195,127.873,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.2,41.583,1.938,77.202,21.233,245.664,2.336,15.911,53.988,88.066,,0.252,344.225,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.3,44.614,1.943,77.146,21.172,244.834,2.347,15.681,52.172,86.287,,0.311,106.497,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.4,48.261,1.954,77.11,21.132,244.754,2.36,15.695,52.052,87.289,,0.338,109.565,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.5,52.51,1.966,77.096,21.112,245.66,2.366,16.022,53.298,90.5,,0.333,91.594,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.6,56.64,1.975,77.101,21.119,247.566,2.364,16.605,55.212,94.673,,0.305,95.131,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.7,59.211,1.975,77.12,21.165,250.275,2.355,17.356,56.736,97.889,,0.263,107.215,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.8,58.564,1.976,77.147,21.238,252.61,2.342,18.152,58.221,100.654,,0.235,106.301,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1863.9,57.873,1.978,77.179,21.276,253.883,2.329,18.6,60.169,104.082,,0.227,103.967,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.0,56.461,1.986,77.213,21.275,253.925,2.323,18.605,61.175,105.952,,0.236,102.222,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.1,53.733,2.002,77.244,21.239,252.798,2.326,18.157,60.45,105.071,,0.26,101.617,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.2,49.174,2.028,77.258,21.177,250.785,2.334,17.326,57.807,101.247,,0.297,101.255,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.3,44.157,2.055,77.245,21.125,249.079,2.346,16.259,56.67,100.566,,0.312,78.523,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.4,39.524,2.076,77.221,21.11,248.274,2.358,15.481,58.439,105.664,,0.316,73.264,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.5,36.179,2.086,77.192,21.121,248.435,2.358,15.201,60.346,111.538,,0.309,78.818,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.6,34.687,2.079,77.164,21.151,249.41,2.348,15.42,60.166,113.848,,0.289,88.002,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.7,35.302,2.045,77.142,21.187,250.833,2.332,16.045,56.212,108.895,,0.258,93.173,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.8,36.026,2.006,77.142,21.247,251.626,2.314,16.882,52.034,102.401,,0.219,102.049,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1864.9,36.974,1.971,77.174,21.284,251.534,2.299,17.406,50.064,99.722,,0.201,119.144,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1865.0,37.802,1.949,77.24,21.299,250.674,2.298,17.494,49.567,99.434,,0.207,132.473,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1865.1,38.292,1.942,77.332,21.3,249.365,2.306,17.147,49.733,99.853,,0.231,129.242,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
