,GR,DEN,CNL,AC,PE
GR,1.0,-0.06313740616252354,0.5406014869410237,0.26638873336124386,0.3198547025941905
DEN,-0.06313740616252354,1.0,-0.5645313875499486,-0.6681657851137276,0.6931679691661965
CNL,0.5406014869410237,-0.5645313875499486,1.0,0.7409581814365845,-0.23790187962774823
AC,0.26638873336124386,-0.6681657851137276,0.7409581814365845,1.0,-0.47529275004042293
PE,0.3198547025941905,0.6931679691661965,-0.23790187962774823,-0.47529275004042293,1.0
